City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,apolinario saravia,-24.4328,-63.9954,20.510000000000048,92,100,2.91,AR,2023-05-26
72,bishkek,42.87,74.59,24.110000000000014,25,3,3.0,KG,2023-05-26
73,ushuaia,-54.8,-68.3,0.8100000000000023,75,0,2.57,AR,2023-05-26
74,al mijlad,11.0333,27.7333,36.80000000000001,25,54,7.35,SD,2023-05-26
75,dunedin,-45.8742,170.5036,13.300000000000011,71,60,3.47,NZ,2023-05-26
76,adamstown,-25.066,-130.1015,23.07000000000005,73,36,2.72,PN,2023-05-26
77,ghat,24.9647,10.1728,26.450000000000045,14,6,5.29,LY,2023-05-26
78,songyuan,45.1171,124.8568,26.08000000000004,21,49,8.55,CN,2023-05-26
79,labrador city,52.9463,-66.9114,-4.0499999999999545,93,0,0.0,CA,2023-05-26
80,al jawf,29.5,38.75,27.07000000000005,16,78,3.06,SA,2023-05-26
81,assab,13.0092,42.7394,31.52000000000004,70,13,10.3,ER,2023-05-26
82,hovd,48.0056,91.6419,12.920000000000016,49,96,2.73,MN,2023-05-26
83,porto novo,6.4965,2.6036,27.900000000000034,85,99,1.75,BJ,2023-05-26
84,klyuchi,52.2667,79.1667,18.960000000000036,25,6,6.55,RU,2023-05-26
85,qaqortoq,60.7167,-46.0333,0.7200000000000273,92,92,2.22,GL,2023-05-26
86,san antonio de pale,-1.4014,5.6325,26.260000000000048,85,100,6.08,GQ,2023-05-26
87,revda,56.801,59.9303,26.53000000000003,29,88,1.51,RU,2023-05-26
88,menongue,-14.6585,17.691,21.129999999999995,42,0,0.66,AO,2023-05-26
89,greymouth,-42.4667,171.2,14.210000000000036,86,87,9.14,NZ,2023-05-26
90,atafu village,-8.5421,-172.5159,28.850000000000023,71,10,4.36,TK,2023-05-26
91,enewetak,11.3474,162.3373,27.939999999999998,80,42,8.81,MH,2023-05-26
92,lukoyanov,55.0277,44.4786,21.370000000000005,69,100,3.46,RU,2023-05-26
93,stanley,54.868,-1.6985,14.850000000000023,84,0,2.06,GB,2023-05-26
94,feodosiya,45.0333,35.3833,18.850000000000023,77,6,3.22,UA,2023-05-26
95,afaahiti,-17.75,-149.2833,25.930000000000007,80,30,3.93,PF,2023-05-26
96,papatowai,-46.5619,169.4708,10.210000000000036,87,82,6.76,NZ,2023-05-26
97,sur,22.5667,59.5289,37.30000000000001,40,0,0.94,OM,2023-05-26
98,new norfolk,-42.7826,147.0587,12.180000000000007,69,100,1.79,AU,2023-05-26
99,kingston,17.997,-76.7936,27.53000000000003,74,20,4.12,JM,2023-05-26
100,chato,-2.6378,31.7669,23.600000000000023,61,79,3.73,TZ,2023-05-26
101,xinyuan,37.3,99.0,6.970000000000027,68,100,2.73,CN,2023-05-26
102,keflavik,64.0049,-22.5624,6.240000000000009,93,100,7.2,IS,2023-05-26
103,invercargill,-46.4,168.35,10.490000000000009,83,100,6.71,NZ,2023-05-26
104,voznesenskoye,54.89,42.7569,21.79000000000002,68,100,2.51,RU,2023-05-26
105,hasaki,35.7333,140.8333,22.379999999999995,66,100,6.08,JP,2023-05-26
106,carloforte,39.145,8.3058,18.910000000000025,72,16,2.22,IT,2023-05-26
107,la'ie,21.6477,-157.9253,25.980000000000018,72,1,0.89,US,2023-05-26
108,cabedelo,-6.9811,-34.8339,25.370000000000005,76,34,5.88,BR,2023-05-26
109,georgetown,5.4112,100.3354,29.970000000000027,74,40,2.06,MY,2023-05-26
110,daru,-9.0763,143.2092,25.730000000000018,88,100,5.9,PG,2023-05-26
111,takoradi,4.8845,-1.7554,26.910000000000025,84,85,1.89,GH,2023-05-26
112,ust-tsilma,65.441,52.1498,24.129999999999995,49,51,6.22,RU,2023-05-26
113,todiresti,47.3167,26.8333,18.220000000000027,69,49,5.91,RO,2023-05-26
114,fort st. john,56.2499,-120.8529,11.939999999999998,76,0,4.12,CA,2023-05-26
115,kailua-kona,19.6406,-155.9956,23.980000000000018,92,0,3.6,US,2023-05-26
116,makushino,55.2103,67.2442,20.120000000000005,38,6,4.31,RU,2023-05-26
117,college,64.8569,-147.8028,20.180000000000007,54,100,6.69,US,2023-05-26
118,tura,25.5198,90.2201,30.620000000000005,53,27,1.96,IN,2023-05-26
119,fomboni,-12.28,43.7425,26.460000000000036,65,0,5.47,KM,2023-05-26
120,huarmey,-10.0681,-78.1522,21.689999999999998,83,100,4.91,PE,2023-05-26
121,pazarlar,38.995,29.1258,17.650000000000034,55,12,0.74,TR,2023-05-26
122,shakiso,5.75,38.9167,17.230000000000018,93,100,1.14,ET,2023-05-26
123,bathsheba,13.2167,-59.5167,27.340000000000032,89,75,3.09,BB,2023-05-26
124,tamanrasset,22.785,5.5228,22.950000000000045,13,0,1.54,DZ,2023-05-26
125,coahuayana de hidalgo,18.7,-103.6583,24.400000000000034,85,100,0.33,MX,2023-05-26
126,rio grande,-32.035,-52.0986,17.900000000000034,87,7,5.0,BR,2023-05-26
127,punta del este,-34.9667,-54.95,22.200000000000045,82,75,5.66,UY,2023-05-26
128,udachny,66.4167,112.4,3.7200000000000273,76,100,5.84,RU,2023-05-26
129,leua,48.2156,18.6071,19.160000000000025,76,14,1.2,SK,2023-05-26
130,acarau,-2.8856,-40.12,24.980000000000018,88,60,4.98,BR,2023-05-26
131,chos malal,-37.3781,-70.2709,6.580000000000041,66,8,5.75,AR,2023-05-26
132,awjilah,29.1081,21.2869,26.560000000000002,39,0,6.62,LY,2023-05-26
133,puerto baquerizo moreno,-0.9,-89.6,25.260000000000048,83,48,5.19,EC,2023-05-26
134,ta`u,-14.2336,-169.5144,27.460000000000036,79,95,6.8,AS,2023-05-26
135,bel ombre,-4.6167,55.4167,29.910000000000025,66,20,7.2,SC,2023-05-26
136,la passe,45.5549,-0.8967,17.230000000000018,78,0,3.26,FR,2023-05-26
137,pemangkat,1.1667,108.9667,30.170000000000016,70,99,5.85,ID,2023-05-26
138,cooper's town,26.8667,-77.5167,25.680000000000007,74,75,3.57,BS,2023-05-26
139,bandarbeyla,9.4942,50.8122,31.010000000000048,62,97,7.63,SO,2023-05-26
140,dryden,49.7833,-92.7503,16.160000000000025,55,0,4.63,CA,2023-05-26
141,kharabali,47.4196,47.2568,27.129999999999995,37,100,2.2,RU,2023-05-26
142,wamba,8.9333,8.6,26.150000000000034,77,17,0.7,NG,2023-05-26
143,kununurra,-15.7667,128.7333,30.99000000000001,29,10,5.14,AU,2023-05-26
144,dongargaon,20.9667,80.85,41.99000000000001,13,45,7.59,IN,2023-05-26
145,papao,-17.75,-149.55,26.82000000000005,78,0,4.03,PF,2023-05-26
146,ladario,-19.0047,-57.6017,20.700000000000045,66,0,1.03,BR,2023-05-26
147,taroa,8.7058,171.2275,28.08000000000004,78,100,7.46,MH,2023-05-26
148,horta,38.5333,-28.6333,16.680000000000007,80,20,5.36,PT,2023-05-26
149,kabalo,-6.05,26.9167,28.05000000000001,51,18,2.89,CD,2023-05-26
150,kruisfontein,-34.0033,24.7314,13.82000000000005,63,71,7.97,ZA,2023-05-26
151,pangai,-19.8,-174.35,21.970000000000027,75,100,7.55,TO,2023-05-26
152,pontecorvo,41.4616,13.6667,24.930000000000007,70,76,0.64,IT,2023-05-26
